Date,หุ้นที่ถืออยู่,,,,Lot หุ้นที่ถือ,,,,มูลค่าหุ้น,,,,มูลค่าหุ้นรวม,เงินสด,มูลค่าหุ้น + เงินสด,ค่าธรรมเนียมค้างจ่ายสะสม,NAV = มูลค่าหุ้นรวม + เงินสด − ค่าธรรมเนียมค้างจ่ายสะสม,is_rebalance,is_payfee
,stock1,stock2,stock3,stock4,stock1,stock2,stock3,stock4,stock1,stock2,stock3,stock4,,,,,,,
